num_queries = 64
blowup_factor = 128
grinding_factor = 0
Trace built in 115.055µs
row |   nonce | current |   stack |    nei0 |    nei1 |   valid |     ret |    call |
156 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
157 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
158 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
159 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
160 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
161 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
162 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
163 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
164 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
165 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
166 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
167 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
168 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
169 |     123 |      59 |      86 |      60 |       0 |       1 |       0 |       0 |
170 |     123 |      60 |      86 |      57 |      60 |       1 |       0 |       0 |
171 |     123 |      57 |      86 |      58 |      59 |       1 |       0 |       0 |
172 |     123 |      58 |      86 |      86 |       0 |       1 |       0 |       0 |
173 |     123 |      86 |      38 |      87 |     108 |       1 |       1 |       0 |
174 |     123 |     108 |      87 |      63 |      64 |       1 |       0 |       1 |
175 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
176 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
177 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
178 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
179 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
180 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
181 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
182 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
183 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
184 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
185 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
186 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
187 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
188 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
189 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
190 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
191 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
192 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
193 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
194 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
195 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
196 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
197 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
198 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
199 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
200 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
201 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
202 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
203 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
204 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
205 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
206 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
207 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
208 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
209 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
210 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
211 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
212 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
213 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
214 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
215 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
216 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
217 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
218 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
219 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
220 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
221 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
222 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
223 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
224 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
225 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
226 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
227 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
228 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
229 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
230 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
231 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
232 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
233 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
234 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
235 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
236 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
237 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
238 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
239 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
240 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
241 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
242 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
243 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
244 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
245 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
246 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
247 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
248 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
249 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
250 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
251 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
252 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
253 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
254 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
255 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
256 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
257 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
258 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
259 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
260 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
261 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
262 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
263 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
264 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
265 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
266 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
267 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
268 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
269 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
270 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
271 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
272 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
273 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
274 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
275 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
276 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
277 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
278 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
279 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
280 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
281 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
282 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
283 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
284 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
285 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
286 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
287 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
288 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
289 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
290 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
291 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
292 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
293 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
294 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
295 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
296 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
297 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
298 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
299 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
300 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
301 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
302 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
303 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
304 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
305 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
306 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
307 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
308 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
309 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
310 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
311 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
312 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
313 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
314 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
315 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
316 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
317 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
318 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
319 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
320 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
321 |     123 |      63 |      87 |      64 |       0 |       1 |       0 |       0 |
322 |     123 |      64 |      87 |      61 |      64 |       1 |       0 |       0 |
323 |     123 |      61 |      87 |      62 |      63 |       1 |       0 |       0 |
324 |     123 |      62 |      87 |      87 |       0 |       1 |       0 |       0 |
325 |     123 |      87 |      38 |      66 |     109 |       1 |       1 |       0 |
326 |     123 |     109 |      66 |      68 |      67 |       1 |       0 |       1 |
327 |     123 |      67 |      66 |      68 |       0 |       1 |       0 |       0 |
328 |     123 |      68 |      66 |      65 |      67 |       1 |       0 |       0 |
329 |     123 |      65 |      66 |      66 |       0 |       1 |       0 |       0 |
330 |     123 |      66 |      38 |      70 |     110 |       1 |       1 |       0 |
331 |     123 |     110 |      70 |      71 |       0 |       1 |       0 |       1 |
332 |     123 |      71 |      70 |      69 |      71 |       1 |       0 |       0 |
333 |     123 |      69 |      70 |      70 |       0 |       1 |       0 |       0 |
334 |     123 |      70 |      38 |     105 |     111 |       1 |       1 |       0 |
335 |     123 |     111 |     105 |     101 |      74 |       1 |       0 |       1 |
336 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
337 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
338 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
339 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
340 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
341 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
342 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
343 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
344 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
345 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
346 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
347 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
348 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
349 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
350 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
351 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
352 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
353 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
354 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
355 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
356 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
357 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
358 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
359 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
360 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
361 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
362 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
363 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
364 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
365 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
366 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
367 |     123 |      88 |     105 |      94 |      95 |       1 |       0 |       0 |
368 |     123 |      95 |     105 |     101 |       0 |       1 |       0 |       0 |
369 |     123 |     101 |     105 |      89 |      74 |       1 |       0 |       0 |
370 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
371 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
372 |     123 |      73 |     105 |      88 |      89 |       1 |       0 |       0 |
373 |     123 |      89 |     105 |      74 |       0 |       1 |       0 |       0 |
374 |     123 |      74 |     105 |      72 |      74 |       1 |       0 |       0 |
375 |     123 |      72 |     105 |      73 |       0 |       1 |       0 |       0 |
