num_queries = 64
blowup_factor = 64
grinding_factor = 0
Trace built in 283.203µs
row |   nonce | current |   stack |    nei0 |    nei1 |    nei2 |    nei3 |    nei4 |    nei5 |   valid |     ret |    call |
159 |     123 |     218 |     178 |     220 |     178 |     221 |       0 |       0 |       0 |       1 |       0 |       0 |
160 |     123 |     178 |     112 |     228 |       0 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
161 |     123 |     228 |     112 |      78 |     229 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
162 |     123 |     229 |     112 |     230 |     197 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
163 |     123 |     230 |     112 |     197 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
164 |     123 |     197 |     112 |     177 |     184 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
165 |     123 |     184 |     112 |      75 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
166 |     123 |      77 |     112 |      78 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
167 |     123 |      78 |     112 |     107 |     108 |     109 |     110 |     111 |     112 |       1 |       0 |       0 |
168 |     123 |     112 |     107 |     198 |     199 |       0 |       0 |       0 |       0 |       1 |       1 |       0 |
169 |     123 |     199 |     107 |     198 |     200 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
170 |     123 |     200 |     107 |     202 |     201 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
171 |     123 |     201 |     107 |     203 |     204 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
172 |     123 |     204 |     107 |     215 |     208 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
173 |     123 |     208 |     107 |     209 |     210 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
174 |     123 |     210 |     107 |     112 |     132 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
175 |     123 |     132 |     112 |     184 |      75 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
176 |     123 |      75 |     112 |      76 |      77 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
177 |     123 |      76 |     112 |     105 |     106 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
178 |     123 |     105 |     112 |     130 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
179 |     123 |     130 |     112 |     143 |     144 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
180 |     123 |     144 |     112 |     147 |     148 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
181 |     123 |     148 |     112 |     151 |     152 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
182 |     123 |     152 |     112 |     157 |     158 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
183 |     123 |     157 |     112 |     161 |     162 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
184 |     123 |     161 |     112 |     171 |     172 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
185 |     123 |     171 |     112 |     178 |     179 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
186 |     123 |     179 |     178 |     222 |      79 |       0 |       0 |       0 |       0 |       1 |       0 |       1 |
187 |     123 |      79 |     178 |      80 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
188 |     123 |      80 |     178 |     113 |     114 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
189 |     123 |     113 |     178 |     115 |       0 |       0 |       0 |       0 |       0 |       1 |       0 |       0 |
